,Antisera,,A/SWINE/FRANCE/FINISTERE/2899/1982,A/SWINE/FRANCE/MORBIHAN/0070/2005,A/SWINE/FRANCE/COTES_DARMOR/0388/2009,A/SWINE/FRANCE/COTES_DARMOR/0186/2010,A/SWINE/FRANCE/65-150242/2015,A/SWINE/SCOTLAND/410440/1994,A/SWINE/FRANCE/COTES_DARMOR/0113/2006,A/SWINE/FRANCE/COTES_DARMOR/0214/2006,A/SWINE/FRANCE/22-130212/2013,A/SWINE/FRANCE/COTES_DARMOR/0190/2006,A/SWINE/FRANCE/COTES_DARMOR/0070/2010,A/SWINE/FRANCE/22-120067/2012,A/BRAZIL/11/1978,A/CHILE/1/1983,A/NEW_CALEDONIA/20/1999,A/SOLOMON_ISLANDS/3/2006,A/TAIWAN/1/1986,A/BEIJING/262/1995,A/CALIFORNIA/4/2009,A/SWINE/IOWA/1973,A/SWINE/MINNESOTA/02093/2008,A/SWINE/MINNESOTA/37866/1999,A/SWINE/KENTUCKY/02086/2008,A/SWINE/NEBRASKA/02013/2008,A/SWINE/NORTH_CAROLINA/02084/08,A/SWINE/OHIO/511445/2007,A/OHIO/9/2015,A/SWINE/FRANCE/MORBIHAN/0070/2005,A/SWINE/FRANCE/COTES_DARMOR/0388/2009,A/SWINE/FRANCE/COTES_DARMOR/0186/2010,A/SWINE/FRANCE/65-150242/2015
,,Clade,1C.1,1C.2.1,1C.2.1,1C.2.1,1C.2.4,1B.1.1,1B.1.2.3,1B.1.1,1B.1.2.3,1B.1.2.3,,,1B.1.1,1B.1.1,,1B.1.1,,,1A.3.3.2,1A.4,,,,,,,1A.3.3.3-c1,1C.2.1,1C.2.1,1C.2.1,1C.2.4
Antigen,Clade,Subtype,H1N1,H1N1,H1N1,H1N2,H1N2,H1N2,H1N2,H1N2,H1N2,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,,,,,,,H1N1,H1N1,H1N1,H1N2,H1N2
A/CALIFORNIA/4/2009,1A.3.3.2,H1N1,4.5432755967228,3.60148075365858,4.57471358127552,5.56074988026161,6.53851509623706,5.8672700530194,7.37394640661263,6.79114403365497,8.88680237765615,5.72928308550283,6.16804726000362,6.37721374428426,5.28602632863825,5.44056811092403,4.73716253891501,6.44922675090048,5.03527257370415,4.90789119551606,0.698221254448279,2.39239503443863,3.15708413419253,2.95338345197987,1.92251090814135,1.4253608304106,2.35844219351529,0.976181767164185,5.35465383357357,2.78052688111886,3.23566523497202,3.25765708608737,6.86680089726819
A/SWINE/IOWA/1973,1A.4,H1N1,4.26388269241302,4.03515335219406,4.81468839178288,6.01330472818405,7.91412901844347,7.03191922067124,8.12497983881195,7.97143696843932,9.7123237658452,6.1858876418999,6.93315011232284,6.81065753410976,6.26454500761965,6.47948168337271,5.39181648679522,6.76128357219065,5.62397813282768,5.76363864156605,1.79175662610159,2.68298113323163,4.4415935620827,2.30253445118757,2.95905042822469,2.70725250748643,3.48596562240621,1.92145792902001,5.03527960829778,3.47765110903732,3.97531587473563,4.310566041911,8.17475910347317
A/OHIO/9/2015,1A.3.3.3-c1,H1N1,3.56729476345766,4.56778855166955,4.69324278338926,5.69902962177943,7.88642468274234,5.74152498319694,6.55000106247986,6.71779004527649,8.22957857941322,5.04100637728209,5.70917843049875,5.59746305740459,4.65698996544964,4.92034817209979,3.41142703265646,4.58730058053937,3.58837865674248,3.97329052895954,1.94089271277204,1.30835856059534,3.70516255512326,1.08808878760803,2.09245395521696,2.40266396778061,2.68534554344767,1.61235459256168,3.08452154937146,4.14234456407617,4.61678497818955,4.54972138261486,8.62014570851614
A/SWINE/SPAIN/40340-2/2017,1B.1.2.1,H1N2,6.74723481932401,6.10953043315391,6.83276795605244,7.39267780578773,5.9163690774137,4.61893667634998,7.18295617473049,5.5559189896507,8.5677403876384,6.83959697456347,6.57975063210441,7.38909814377624,4.18868139574332,4.02773795566422,3.68928643679087,5.53363549194545,3.89264373200954,3.68016866800346,3.15531675026926,4.00694500173511,2.77212637474574,4.72556828468545,2.80173341543105,2.51013581751895,1.30040806550296,2.8559683125466,5.72898859248605,5.2054664696057,5.49660275769043,4.81336844311689,6.54785493753513
A/SWINE/SPAIN/45600-1/2017,1B.1.2,H1N2,4.53710537506341,3.48578618314694,3.97307700385577,4.33467851642908,4.75896889765512,3.25049455754815,5.00705979711242,4.12402924586687,6.38533208085304,4.05515840687137,3.87854033446195,4.65264884329707,2.93350281377819,3.0934081269764,3.33926470038137,5.3910350576863,3.76239212795755,3.00107169235171,2.13195617267042,2.40702028287051,0.747740987401463,4.19365132833071,1.15377761029701,1.38044823811418,1.98347078042702,2.13239539720709,5.55288639776473,2.82718937646904,3.02566833110684,2.18713493050151,5.77427820095465
A/SWINE/SPAIN/45600-2/2017,1B.1.2,H1N2,5.75941994672801,4.51614351242892,5.16346124138082,5.40811789156359,4.1127532986554,2.93187010406874,5.48224616750701,3.8011158015385,6.72623285591783,5.08396545506374,4.58906226062006,5.63295907245809,2.93672954301434,2.87591012051138,3.52471623422574,5.6735252532412,3.91711345313812,3.03669904262215,2.8299972363718,3.43388834313024,0.580343931142147,5.01676566215204,1.97401493551494,1.88452375065485,1.77081605244596,2.75905576584627,6.19271527574115,3.72239715988068,3.85920932787204,2.87976614140754,5.14370426334129
A/SWINE/SPAIN/45600-3/2017,1B.1.2,H1N2,6.16908766708234,4.73790272048407,5.46964460610909,5.6674005430678,3.75997448496019,3.00244931607361,5.73390783515144,3.80917266997643,6.90102491340671,5.42938070973639,4.85347378733022,5.9699363926462,3.19131027280727,3.07296882549259,3.88271769132381,6.03059291511852,4.26502678188815,3.35016415041206,3.14273380796089,3.86232263248351,0.977205143639428,5.41747731862078,2.38471335679114,2.20489270444515,2.04402637771766,3.09667763626408,6.6125512755605,3.91063960868557,4.00931728428972,2.99604665949579,4.76655455584382
A/SWINE/SPAIN/45600-4/2017,1B.1.2,H1Nx,5.97610165509889,4.63544314954186,5.38290864295778,5.66944944751224,4.0874075934425,3.22386950653424,5.84391322685771,4.0772778151364,7.07790337993066,5.41747862875317,4.94708816383306,5.97532349977388,3.25154416420742,3.16181113424898,3.74543477003405,5.89045567976155,4.12276168954229,3.29894421855694,2.81366221666468,3.5906428465264,0.91148258522558,5.08631792547572,2.0911438875204,1.87062280793976,1.68984154874774,2.74977740785986,6.34070306070105,3.78425070818141,3.92747405038689,2.97858204484299,5.0077380712648
A/SWINE/SPAIN/45690-2/2017,1B.1.2,H1N1,4.19595203940302,3.0376461160757,3.60529033499874,4.08807472662509,4.99338531720319,3.72035586560625,5.24051139016002,4.57111761758739,6.64046162844618,3.98669763565978,4.00017644697464,4.61312351151457,3.35664155439844,3.55569782503318,3.62013829938696,5.60376935416854,4.0349479216346,3.37844239806213,1.7792234993816,2.14408391524754,1.23380382901639,3.92657422804015,1.02163426682555,1.20203207027516,2.14251138037591,1.86688658916924,5.50680204022853,2.36892774891905,2.61247699456037,1.90938837785317,5.89527552409007
A/SWINE/SPAIN/40340-1/2017,1C.2.1,H1N1,3.76596005381353,2.0850919261332,2.72762350006006,3.22880264268286,5.09658685639871,4.2312090458821,5.28574688161985,4.9609771274837,6.61413524277089,3.59148430549072,3.80130816010151,4.23774864133562,3.9698389366671,4.23308722428234,4.36721654885577,6.2258130658411,4.78366478602559,4.12068477434068,2.16108580882834,2.39090474715989,2.07187640904117,4.18191683333082,1.82212753411678,1.95787479916516,3.1006242734468,2.41097313811977,5.94563399946323,1.57314284399973,1.76631674716498,1.24151877970152,5.92771988931944
